iter	RMSE
0	0.9605430618
1	0.9242762723
2	0.8903248953
3	0.8597969274
4	0.8312560309
5	0.805513705
6	0.7823443512
7	0.7608844683
8	0.7415526139
9	0.7240585705
10	0.7080253007
11	0.6928798965
12	0.6803822995
13	0.6680748052
14	0.6573466878
15	0.6467496655
16	0.637199724
17	0.6288930144
18	0.6212525467
19	0.6142246614
20	0.6071884474
21	0.6008025709
22	0.5949211865
23	0.5895905324
24	0.5849294158
25	0.5808190623
26	0.5770950159
27	0.5738148614
28	0.5700156537
29	0.5669085343
30	0.5638476667
31	0.560787989
32	0.5581991604
33	0.5558641072
34	0.553537653
35	0.5513077044
36	0.5487096081
37	0.5465996941
38	0.5447921466
39	0.542757052
40	0.5409694715
41	0.5394665279
42	0.5377486029
43	0.5361957688
44	0.5346432016
45	0.5334090501
46	0.5323506863
47	0.5313862945
48	0.5297904276
49	0.5285554045
50	0.527419328
51	0.5264438761
52	0.5255050351
53	0.524511068
54	0.5234477053
55	0.5226710214
56	0.5218905073
57	0.5212541855
58	0.520353603
59	0.5191214948
60	0.5182412561
61	0.5174335647
62	0.5166805041
63	0.515721566
64	0.5150255457
65	0.5143756656
66	0.5137570077
67	0.5131752348
68	0.5124180751
69	0.511967968
70	0.5114348725
71	0.5108855381
72	0.510361948
73	0.5098701293
74	0.5090588038
75	0.5086045291
76	0.5080787126
77	0.5076214637
78	0.5071330655
79	0.506692223
80	0.5062980225
81	0.5057388099
82	0.5052699723
83	0.5049223876
84	0.5044894967
85	0.5041362412
86	0.5037762371
87	0.5034286201
88	0.5030021796
89	0.5025864941
90	0.5022404694
91	0.5016900017
92	0.5012237544
93	0.5008157907
94	0.5001387142
95	0.4998459819
96	0.4995638529
97	0.4991531141
98	0.4987651107
99	0.4983833771
100	0.4980508899
101	0.4978339258
102	0.4975131583
103	0.4971581899
104	0.4968134026
105	0.496566325
106	0.4960613508
107	0.4958220052
108	0.4955034433
109	0.4952790944
110	0.4950415055
111	0.4947091572
112	0.49374902
113	0.493499674
114	0.4932612042
115	0.4929779302
116	0.4928074961
117	0.4925359536
118	0.4923075904
119	0.4921521923
120	0.4919337355
121	0.4916803901
122	0.4908675646
123	0.4905772416
124	0.4903669081
125	0.4901389333
126	0.4896992919
127	0.4894442484
128	0.4892334068
129	0.4885704924
130	0.4882943733
131	0.4880448305
132	0.4878224474
133	0.4875829236
134	0.4867400597
135	0.4861125374
136	0.4858803035
137	0.4851793934
138	0.4850372304
139	0.4847968809
140	0.4846117043
141	0.4841589399
142	0.4839173307
143	0.4837209426
144	0.4834054212
145	0.4831444326
146	0.4824280549
147	0.4822440297
148	0.4820707224
149	0.4817491715
150	0.4813696899
151	0.4811273867
152	0.480915554
153	0.4806647696
154	0.4803501071
155	0.4801857164
156	0.4799492383
157	0.4797162842
158	0.4795813557
159	0.4794132935
160	0.4791901799
161	0.4785384109
162	0.4782355931
163	0.4780277913
164	0.4778599369
165	0.4777064915
166	0.4774862433
167	0.4772716989
168	0.4770861879
169	0.4769239626
170	0.4767859722
171	0.4766370096
172	0.4764808896
173	0.4762925826
174	0.476143529
175	0.476000741
176	0.4758137638
177	0.4756706575
178	0.4753918902
179	0.4752656723
180	0.4750803745
181	0.4749662457
182	0.4748578507
183	0.4747614862
184	0.4745426064
185	0.4744447667
186	0.4737932865
187	0.4733305682
188	0.473192891
189	0.4729149066
190	0.4726292052
191	0.4722672664
192	0.472152424
193	0.4719638819
194	0.4714100805
195	0.4712686723
196	0.4709421294
197	0.4708062061
198	0.4705653553
199	0.4703741538
200	0.4698499485
201	0.4697371239
202	0.4696312809
203	0.4693371088
204	0.4690690313
205	0.4685538262
206	0.4684083756
207	0.4680427273
208	0.4677845078
209	0.4675555432
210	0.4673429768
211	0.4669880703
212	0.466802066
213	0.4667120746
214	0.4665706157
215	0.4664630185
216	0.4660996009
217	0.4660144289
218	0.4658378847
219	0.4655980591
220	0.465421263
221	0.4653118271
222	0.4648559291
223	0.4643665795
224	0.4642622532
225	0.4639978642
226	0.4637822562
227	0.463659009
228	0.4635666849
229	0.4631522976
230	0.4629773864
231	0.4627554365
232	0.4626052326
233	0.4625169782
234	0.4624334835
235	0.4621723921
236	0.4617645235
237	0.4616705148
238	0.4614230554
239	0.4612756198
240	0.4610576737
241	0.4607788751
242	0.4607077295
243	0.4603618851
244	0.4599671065
245	0.459593403
246	0.4591722249
247	0.458886823
248	0.4587449392
249	0.4583857719
250	0.4582598674
251	0.4581420515
252	0.4580479138
253	0.4578308248
254	0.4576676825
255	0.4575287301
256	0.4574502349
257	0.4573206355
258	0.4570041966
259	0.456848938
260	0.456526243
261	0.4563960168
262	0.4563352821
263	0.4561492113
264	0.4560867275
265	0.4557895218
266	0.4556892678
267	0.4555835543
268	0.4553983695
269	0.4553187375
270	0.4551860802
271	0.4548959826
272	0.4545064088
273	0.4541849933
274	0.4541005006
275	0.453793728
276	0.4535023931
277	0.4533039907
278	0.4531449275
279	0.4528720259
280	0.4527050138
281	0.4525963087
282	0.4525266898
283	0.4523287169
284	0.4520312227
285	0.4517251688
286	0.4516533731
287	0.4515864484
288	0.4514694602
289	0.4513643635
290	0.4510704313
291	0.4509164157
292	0.4506988276
293	0.4503702783
294	0.4503150632
295	0.4501432244
296	0.4500602128
297	0.4497530055
298	0.449642647
299	0.4494393999
300	0.449394587
301	0.4491333687
302	0.4489073926
303	0.4488205187
304	0.4486983687
305	0.4484117272
306	0.4483468805
307	0.4480880415
308	0.4480058891
309	0.4479451578
310	0.4477808268
311	0.4476722191
312	0.4474297357
313	0.4471621687
314	0.447064056
315	0.4467509163
316	0.4466033921
317	0.4463304085
318	0.446174385
319	0.4461062435
320	0.4459289089
321	0.4457301817
322	0.4456497941
323	0.4454674598
324	0.4453338358
325	0.4451275793
326	0.445052807
327	0.444958251
328	0.4447571124
329	0.4445235958
330	0.4443456827
331	0.4441372103
332	0.444061433
333	0.4438262755
334	0.4436819572
335	0.4435036656
336	0.4434436359
337	0.4433420939
338	0.4431748089
339	0.4429836348
340	0.4427331336
341	0.4425843798
342	0.442511433
343	0.442342298
344	0.4422561226
345	0.442137099
346	0.4418609536
347	0.4418073275
348	0.4417037165
349	0.4414988731
